Country,G_Female,G_Male,G_Mixed,S_Female,S_Male,S_Mixed,B_Female,B_Male,B_Mixed,T_Female,T_Male,T_Mixed,Total
China,54,30,10,45,29,2,32,17,1,131,76,13,220
Great Britain,29,15,5,18,22,4,18,6,7,65,43,16,124
United States,18,13,5,24,11,7,12,11,4,54,35,16,105
Brazil,13,12,0,12,12,2,18,18,2,43,42,4,89
Ukraine,7,14,1,11,17,0,9,21,2,27,52,3,82
France (host),3,14,2,8,19,1,3,21,4,14,54,7,75
Italy,7,15,2,5,8,2,17,12,3,29,35,7,71
Australia,8,8,2,6,9,2,9,17,2,23,34,6,63
Netherlands,10,13,4,8,3,6,5,7,0,23,23,10,56
Germany,5,4,1,4,7,3,12,9,4,21,20,8,49
Japan,6,7,1,3,7,0,6,9,2,15,23,3,41
Spain,2,5,0,5,5,1,8,11,3,15,21,4,40
Thailand,3,3,0,1,9,1,6,6,1,10,18,2,30
South Korea,0,6,0,5,4,1,6,6,2,11,16,3,30
Canada,2,8,0,3,6,0,8,2,0,13,16,0,29
India,1,6,0,1,8,0,8,4,1,10,18,1,29
Colombia,3,3,1,0,7,0,5,9,0,8,19,1,28
Turkey,2,4,0,5,4,1,9,3,0,16,11,1,28
Uzbekistan,2,8,0,7,1,1,3,4,0,12,13,1,26
Iran,1,7,0,4,5,1,1,6,0,6,18,1,25
Poland,3,5,0,4,2,0,2,6,1,9,13,1,23
Switzerland,6,2,0,6,2,0,4,1,0,16,5,0,21
Mexico,1,2,0,3,3,0,3,5,0,7,10,0,17
Hungary,4,1,0,6,0,0,2,2,0,12,3,0,15
Morocco,1,2,0,3,3,0,2,4,0,6,9,0,15
Belgium,2,3,2,0,4,0,0,3,0,2,10,2,14
Indonesia,0,0,1,3,3,2,1,3,1,4,6,4,14
Greece,1,2,0,1,2,0,3,4,0,5,8,0,13
Argentina,0,2,0,0,3,0,2,5,1,2,10,1,13
Tunisia,3,2,0,0,3,0,1,2,0,4,7,0,11
Algeria,2,4,0,0,0,0,2,3,0,4,7,0,11
Azerbaijan,1,3,0,1,1,0,0,5,0,2,9,0,11
Cuba,3,3,0,1,2,0,0,1,0,4,6,0,10
Israel,1,3,0,1,1,0,0,2,2,2,6,2,10
Denmark,1,1,0,0,2,1,3,2,0,4,5,1,10
New Zealand,1,0,0,3,1,0,3,1,0,7,2,0,9
Kazakhstan,1,1,0,0,3,0,2,2,0,3,6,0,9
Georgia,0,1,0,0,3,1,3,1,0,3,5,1,9
Hong Kong,1,1,1,2,1,1,1,0,0,4,2,2,8
Czech Republic,0,1,0,1,2,1,1,2,0,2,5,1,8
Nigeria,2,0,0,3,0,0,1,1,0,6,1,0,7
Egypt,1,1,0,1,1,0,2,1,0,4,3,0,7
Portugal,1,1,0,0,1,0,1,3,0,2,5,0,7
Norway,0,1,0,2,1,0,2,1,0,4,3,0,7
Venezuela,2,1,0,2,0,0,0,1,0,4,2,0,6
Ireland,1,0,0,3,0,0,2,0,0,6,0,0,6
South Africa,1,1,0,0,0,0,1,2,1,2,3,1,6
Chile,1,0,0,0,0,0,2,3,0,3,3,0,6
Serbia,0,0,1,2,1,0,0,2,0,2,3,1,6
Iraq,1,0,0,0,1,0,0,3,0,1,4,0,5
Taiwan,0,0,0,1,2,0,1,1,0,2,3,0,5
Slovakia,0,2,1,1,0,1,0,0,0,1,2,2,5
Malaysia,0,2,0,0,2,0,0,1,0,0,5,0,5
Ecuador,2,0,0,0,0,0,2,0,0,4,0,0,4
Latvia,1,0,2,0,1,0,0,0,0,1,1,2,4
Mongolia,1,0,0,0,3,0,0,0,0,1,3,0,4
Croatia,1,0,0,0,1,0,0,2,0,1,3,0,4
Austria,0,0,0,0,3,0,1,0,0,1,3,0,4
